functionType,L2 DCM,L1 DCM,MatrixSize,BlockSize,Real Time,Threads
OnMultLineParallel1,5127464,207182158,1800,N/A,4.154208,4
OnMultLineParallel1,5017221,208447378,1800,N/A,7.482609,4
OnMultLineParallel1,5009029,202113407,1800,N/A,4.334970,4
OnMultLineParallel1,5373216,213543632,1800,N/A,11.342865,4
OnMultLineParallel1,5018935,205654131,1800,N/A,4.226899,4
OnMultLineParallel1,5726733,545666002,2200,N/A,8.973099,4
OnMultLineParallel1,5757236,549724685,2200,N/A,12.608106,4
OnMultLineParallel1,5759064,544549099,2200,N/A,15.439005,4
OnMultLineParallel1,5717273,542958453,2200,N/A,7.147478,4
OnMultLineParallel1,5792312,545847567,2200,N/A,14.567393,4
OnMultLineParallel1,9262051,1111311886,2600,N/A,20.827701,4
OnMultLineParallel1,9325742,1109188467,2600,N/A,20.962003,4
OnMultLineParallel1,9323037,1110103284,2600,N/A,22.283931,4
OnMultLineParallel1,9267711,1112016342,2600,N/A,15.747527,4
OnMultLineParallel1,9322718,1112114204,2600,N/A,18.749266,4
OnMultLineParallel1,14181649,1705073069,3000,N/A,30.241920,4
OnMultLineParallel1,14151943,1705961072,3000,N/A,26.119772,4
OnMultLineParallel1,14173405,1705077468,3000,N/A,28.524201,4
OnMultLineParallel1,14175069,1704396704,3000,N/A,31.933580,4
OnMultLineParallel1,14186853,1703775015,3000,N/A,33.886414,4
OnMultLineParallel2,687254,27957085,600,N/A,1.072650,4
OnMultLineParallel2,18532123,54658652,600,N/A,1.189219,4
OnMultLineParallel2,4628770,34549149,600,N/A,1.195334,4
OnMultLineParallel2,1446776,29577602,600,N/A,1.055931,4
OnMultLineParallel2,1871399,30325917,600,N/A,0.992259,4
OnMultLineParallel2,60482302,240029809,1000,N/A,5.820792,4
OnMultLineParallel2,20290873,165876733,1000,N/A,4.767294,4
OnMultLineParallel2,18388308,162077698,1000,N/A,6.153042,4
OnMultLineParallel2,5425173,135776882,1000,N/A,5.541963,4
OnMultLineParallel2,21561955,170994484,1000,N/A,4.268143,4
OnMultLineParallel2,170541846,697257055,1400,N/A,16.892668,4
OnMultLineParallel2,26513719,423956494,1400,N/A,19.581829,4
OnMultLineParallel2,218672021,794995496,1400,N/A,17.992484,4
OnMultLineParallel2,62291436,507337746,1400,N/A,15.028162,4
OnMultLineParallel2,11905027,373481672,1400,N/A,13.117371,4
OnMultLineParallel2,86932735,1061732143,1800,N/A,34.889623,4
